"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","17,524,357","100"
"2","apple.com","4,523,916","100"
"3","www.google.com","12,006,653","100"
"4","support.google.com","4,502,986","99"
"5","www.blogger.com","25,031,051","99"
"6","play.google.com","2,325,911","99"
"7","docs.google.com","2,219,675","99"
"8","microsoft.com","4,175,443","99"
"9","en.wikipedia.org","5,465,568","98"
"10","cloudflare.com","5,047,593","98"
"11","adobe.com","2,903,136","98"
"12","linkedin.com","8,674,872","98"
"13","wordpress.org","9,680,288","98"
"14","plus.google.com","12,319,341","98"
"15","maps.google.com","4,462,971","98"
"16","accounts.google.com","2,530,325","97"
"17","drive.google.com","1,727,198","97"
"18","mozilla.org","1,922,243","97"
"19","vimeo.com","3,120,270","97"
"20","youtu.be","3,822,168","97"
"21","sites.google.com","1,661,541","97"
"22","europa.eu","1,666,675","97"
"23","googleusercontent.com","2,152,031","97"
"24","github.com","1,968,264","96"
"25","amazon.com","3,998,611","96"
"26","cnn.com","1,223,431","96"
"27","bbc.co.uk","1,423,698","96"
"28","facebook.com","45,267,517","96"
"29","medium.com","1,100,294","96"
"30","vk.com","1,605,760","96"
"31","es.wikipedia.org","775,400","96"
"32","istockphoto.com","3,068,619","96"
"33","bp.blogspot.com","15,861,157","96"
"34","google.com.br","265,414","95"
"35","mail.ru","479,624","95"
"36","live.com","737,776","95"
"37","whatsapp.com","1,582,445","95"
"38","imdb.com","1,239,759","95"
"39","msn.com","997,840","95"
"40","theguardian.com","1,196,986","95"
"41","google.de","1,095,402","95"
"42","reuters.com","731,626","95"
"43","myspace.com","1,277,836","95"
"44","washingtonpost.com","868,900","95"
"45","globo.com","383,808","95"
"46","google.co.uk","545,521","95"
"47","wikimedia.org","1,366,905","95"
"48","creativecommons.org","1,542,620","95"
"49","dropbox.com","932,645","95"
"50","google.es","414,459","95"
"51","news.yahoo.com","575,157","95"
"52","dailymotion.com","1,075,264","95"
"53","hugedomains.com","5,142,648","95"
"54","developers.google.com","885,453","95"
"55","paypal.com","885,022","95"
"56","forbes.com","926,689","95"
"57","who.int","2,233,960","95"
"58","line.me","568,152","95"
"59","policies.google.com","1,029,399","95"
"60","w3.org","1,064,232","95"
"61","news.google.com","683,947","95"
"62","www.yahoo.com","921,268","95"
"63","mail.google.com","432,872","95"
"64","bbc.com","661,329","95"
"65","networkadvertising.org","709,378","95"
"66","jimdofree.com","1,650,247","95"
"67","pt.wikipedia.org","358,524","95"
"68","fr.wikipedia.org","532,094","95"
"69","uol.com.br","561,229","95"
"70","feedburner.com","1,752,381","95"
"71","google.co.jp","632,562","95"
"72","nytimes.com","1,685,218","95"
"73","t.me","479,047","95"
"74","nih.gov","1,037,607","95"
"75","photos.google.com","231,923","95"
